GOterm	NCBITaxon:10090	NCBITaxon:33090	NCBITaxon:3702	NCBITaxon:40674
GO:0000001	1	1	1	1
GO:0000002	1	1	1	1
GO:0000003	1	1	1	1
GO:0000006	1	1	1	1
GO:0000007	1	1	1	1
GO:0000009	1	1	1	1
GO:0000010	1	1	1	1
GO:0000011	1	1	1	1
GO:0000012	1	1	1	1
GO:0000014	1	1	1	1
GO:0000015	1	1	1	1
GO:0000016	1	1	1	1
GO:0000017	1	1	1	1
GO:0000018	1	1	1	1
GO:0000019	1	1	1	1
GO:0000022	1	1	1	1
GO:0000023	1	1	1	1
GO:0000024	1	1	1	1
GO:0000025	1	1	1	1
GO:0000026	1	1	1	1
GO:0000027	1	1	1	1
GO:0000028	1	1	1	1
GO:0000030	1	1	1	1
GO:0000031	1	1	1	1
GO:0000032	1	1	1	1
GO:0000033	1	1	1	1
GO:0000034	1	1	1	1
GO:0000035	1	1	1	1
GO:0000036	1	1	1	1
GO:0000038	1	1	1	1
GO:0000041	1	1	1	1
GO:0000045	1	1	1	1
GO:0000048	1	1	1	1
GO:0000049	1	1	1	1
GO:0000050	1	1	1	1
GO:0000052	1	1	1	1
GO:0000053	1	1	1	1
GO:0000054	1	1	1	1
GO:0000055	1	1	1	1
GO:0000056	1	1	1	1
GO:0000060	1	1	1	1
GO:0000061	1	1	1	1
GO:0000062	1	1	1	1
GO:0000064	1	1	1	1
GO:0000070	1	1	1	1
GO:0000073	0	0	0	0
GO:0000075	1	1	1	1
GO:0000076	1	1	1	1
GO:0000077	1	1	1	1
GO:0000079	1	1	1	1
GO:0000080	1	1	1	1
GO:0000082	1	1	1	1
GO:0000083	1	1	1	1
GO:0000084	1	1	1	1
GO:0000085	1	1	1	1
GO:0000086	1	1	1	1
GO:0000087	1	1	1	1
GO:0000088	1	1	1	1
GO:0000089	1	1	1	1
GO:0000090	1	1	1	1
GO:0000091	1	1	1	1
GO:0000092	1	1	1	1
GO:0000093	1	1	1	1
GO:0000095	1	1	1	1
GO:0000096	1	1	1	1
GO:0000097	1	1	1	1
GO:0000098	1	1	1	1
