inbred,aspect,db_object_symbol,rc,num_gold,num_pred,evalType,source
B73v3,P,GRMZM2G085381,0.945454545454546,55,77,CAFA,GOMAP
B73v3,P,GRMZM2G020216,0.818181818181818,33,287,CAFA,GOMAP
B73v3,P,GRMZM2G078412,1,20,121,CAFA,GOMAP
B73v3,P,GRMZM2G132021,0.15,20,3,CAFA,GOMAP
B73v3,C,GRMZM2G059037,0.95,20,28,CAFA,GOMAP
B73v3,P,GRMZM2G120178,0.0909090909090909,11,38,CAFA,GOMAP
B73v3,P,GRMZM2G083459,0.272727272727273,11,96,CAFA,GOMAP
B73v3,P,GRMZM2G051637,0.333333333333333,6,174,CAFA,GOMAP
B73v3,P,GRMZM2G321753,0.833333333333333,6,84,CAFA,GOMAP
B73v3,P,GRMZM2G117935,0.166666666666667,6,37,CAFA,GOMAP
B73v3,P,GRMZM2G081554,0.838709677419355,31,69,CAFA,GOMAP
B73v3,P,GRMZM2G017087,0.875,8,124,CAFA,GOMAP
B73v3,P,AC233950.1_FG002,0.8,5,62,CAFA,GOMAP
B73v3,P,GRMZM2G311036,0.214285714285714,14,12,CAFA,GOMAP
B73v3,P,GRMZM2G336824,0.285714285714286,14,11,CAFA,GOMAP
B73v3,P,GRMZM2G023325,0.285714285714286,14,106,CAFA,GOMAP
B73v3,P,GRMZM2G085661,0.142857142857143,14,22,CAFA,GOMAP
B73v3,P,GRMZM2G167549,0.214285714285714,14,27,CAFA,GOMAP
B73v3,P,GRMZM2G172491,0.142857142857143,14,22,CAFA,GOMAP
B73v3,P,GRMZM2G063756,0.928571428571429,14,116,CAFA,GOMAP
B73v3,P,GRMZM2G025832,0.3125,16,39,CAFA,GOMAP
B73v3,F,GRMZM2G011357,0.8,5,10,CAFA,GOMAP
B73v3,F,GRMZM5G883855,0,2,9,CAFA,GOMAP
B73v3,F,GRMZM2G083950,0.166666666666667,6,4,CAFA,GOMAP
B73v3,F,GRMZM2G025409,0.2,5,4,CAFA,GOMAP
B73v3,F,GRMZM2G078412,0.833333333333333,6,6,CAFA,GOMAP
B73v3,F,GRMZM2G050697,0.75,8,9,CAFA,GOMAP
B73v3,F,GRMZM2G032628,1,5,11,CAFA,GOMAP
B73v3,F,GRMZM2G073054,1,5,11,CAFA,GOMAP
B73v3,F,GRMZM2G051219,0.555555555555556,9,9,CAFA,GOMAP
B73v3,F,GRMZM5G881887,0.857142857142857,7,9,CAFA,GOMAP
B73v3,F,GRMZM2G393334,1,40,56,CAFA,GOMAP
B73v3,F,GRMZM2G375504,1,18,18,CAFA,GOMAP
B73v3,F,GRMZM2G016241,1,4,5,CAFA,GOMAP
B73v3,F,GRMZM2G026117,1,4,4,CAFA,GOMAP
B73v3,F,GRMZM2G347056,1,7,7,CAFA,GOMAP
B73v3,F,GRMZM2G091819,1,8,18,CAFA,GOMAP
B73v3,F,GRMZM2G171822,1,25,42,CAFA,GOMAP
B73v3,F,GRMZM2G138886,0.08,25,6,CAFA,GOMAP
