organization	experiment	study	study_title	sci_name	accession	pub_date
Jiangsu Academy of Agricultural Sciences	SRX9911319	SRP302736	The complete mitochondrial genome sequence of Brassica napus variety Ningyou 18 and 088018	Brassica napus	SRR13499402	2021-01-21 19:14:11
Jiangsu Academy of Agricultural Sciences	SRX9906973	SRP302637	The complete mitochondrial genome sequence of Brassica napus  variety NY18	Brassica napus	SRR13494971	2021-01-21 05:18:13
The University of Queensland	SRX9893071	SRP250890	Macadamia jansenii sequencing	Macadamia jansenii	SRR13480361	2021-01-19 01:48:53
The University of Queensland	SRX9893070	SRP250890	Macadamia jansenii sequencing	Macadamia jansenii	SRR13480362	2021-01-19 02:38:44
The University of Queensland	SRX9893069	SRP250890	Macadamia jansenii sequencing	Macadamia jansenii	SRR13480363	2021-01-19 02:16:46
The University of Queensland	SRX9864169	SRP250890	Macadamia jansenii sequencing	Macadamia jansenii	SRR13451257	2021-01-18 01:02:35
HudsonAlpha Genome Sequencing Center	SRX9852539	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13439040	2021-01-14 23:11:04
HudsonAlpha Genome Sequencing Center	SRX9852538	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13439041	2021-01-14 23:11:04
HudsonAlpha Genome Sequencing Center	SRX9852537	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13439042	2021-01-14 23:11:04
HudsonAlpha Genome Sequencing Center	SRX9846037	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13430771	2021-01-14 12:54:43
HudsonAlpha Genome Sequencing Center	SRX9843426	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428393	2021-01-14 02:34:52
HudsonAlpha Genome Sequencing Center	SRX9843425	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428394	2021-01-14 18:57:32
HudsonAlpha Genome Sequencing Center	SRX9843424	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428395	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843423	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428396	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843422	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428397	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843421	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428398	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843420	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428399	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843419	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428400	2021-01-14 03:00:24
HudsonAlpha Genome Sequencing Center	SRX9843418	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428401	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843417	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428402	2021-01-14 03:00:24
HudsonAlpha Genome Sequencing Center	SRX9843416	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428403	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843415	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428404	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843414	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428405	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843413	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428406	2021-01-14 00:20:20
HudsonAlpha Genome Sequencing Center	SRX9843412	SRP300796	Carya illinoinensis Raw sequence reads	Carya illinoinensis	SRR13428407	2021-01-14 03:00:24
Nanjing Institute of Environmental Sciences. MEE	SRX9840405	SRP301527	the chloroplast complete genome sequceing of Rhododendron latoucheae	Rhododendron latoucheae	SRR13425299	2021-01-13 07:07:56
NCGR	SRX9830679	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413584	2021-01-11 23:15:02
NCGR	SRX9830678	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413585	2021-01-11 22:59:21
NCGR	SRX9830674	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413589	2021-01-11 23:15:02
NCGR	SRX9830673	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413590	2021-01-11 23:33:48
NCGR	SRX9830672	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413591	2021-01-11 22:54:38
NCGR	SRX9830671	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413592	2021-01-11 22:56:42
NCGR	SRX9830670	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413593	2021-01-11 22:47:40
NCGR	SRX9830669	SRP301349	Alnus rubra cultivar:639 Genome sequencing and assembly	Alnus rubra	SRR13413594	2021-01-11 22:49:41
