source,inbred,aspect,db_object_symbol,pr,num_gold,num_pred,evalType
GOMAP,B73v3,C,AC149810.2_FG004,0.533333333333333,8,15,CAFA
GOMAP,B73v3,C,AC155624.2_FG011,0.347826086956522,8,23,CAFA
GOMAP,B73v3,C,AC182617.3_FG001,0.818181818181818,9,11,CAFA
GOMAP,B73v3,C,AC188023.3_FG005,0.888888888888889,8,9,CAFA
GOMAP,B73v3,C,AC188838.3_FG005,0.533333333333333,8,15,CAFA
GOMAP,B73v3,C,AC189750.4_FG004,0.6,9,15,CAFA
GOMAP,B73v3,C,AC194734.3_FG004,0.318181818181818,10,22,CAFA
GOMAP,B73v3,C,AC194970.5_FG001,0.36,9,25,CAFA
GOMAP,B73v3,F,AC196475.3_FG004,0.461538461538462,6,13,CAFA
GOMAP,B73v3,P,AC196475.3_FG004,0.253731343283582,17,67,CAFA
GOMAP,B73v3,C,AC197672.3_FG002,0.347826086956522,9,23,CAFA
GOMAP,B73v3,C,AC198169.4_FG004,0.588235294117647,13,17,CAFA
GOMAP,B73v3,C,AC198353.5_FG004,0.8,13,10,CAFA
GOMAP,B73v3,C,AC199526.5_FG003,0.6875,13,16,CAFA
GOMAP,B73v3,F,AC199526.5_FG003,0.2,1,5,CAFA
GOMAP,B73v3,P,AC203535.4_FG001,0.0542635658914729,10,129,CAFA
GOMAP,B73v3,C,AC203535.4_FG004,0.272727272727273,6,22,CAFA
GOMAP,B73v3,C,AC203761.3_FG002,0.642857142857143,13,14,CAFA
GOMAP,B73v3,C,AC203966.5_FG002,0.4,10,20,CAFA
GOMAP,B73v3,C,AC205730.3_FG002,0.25,8,4,CAFA
GOMAP,B73v3,C,AC207722.2_FG009,0.210526315789474,10,38,CAFA
GOMAP,B73v3,C,AC208915.3_FG010,0.228571428571429,10,35,CAFA
GOMAP,B73v3,C,AC209374.4_FG002,0.818181818181818,9,11,CAFA
GOMAP,B73v3,C,AC210013.4_FG016,0.375,8,8,CAFA
GOMAP,B73v3,C,AC210517.3_FG003,0.615384615384615,8,13,CAFA
GOMAP,B73v3,C,AC211737.3_FG012,0.307692307692308,9,26,CAFA
GOMAP,B73v3,C,AC213521.3_FG005,0.4,9,20,CAFA
GOMAP,B73v3,C,AC215201.3_FG005,0.321428571428571,9,28,CAFA
GOMAP,B73v3,C,AC215690.3_FG002,0.6,9,15,CAFA
GOMAP,B73v3,C,AC217300.3_FG005,0.6,14,20,CAFA
GOMAP,B73v3,C,AC217965.2_FG012,0.727272727272727,8,11,CAFA
GOMAP,B73v3,C,AC233914.1_FG001,0.25,8,4,CAFA
GOMAP,B73v3,C,AC233922.1_FG005,0.421052631578947,9,19,CAFA
GOMAP,B73v3,P,AC233950.1_FG002,0.0645161290322581,5,62,CAFA
GOMAP,B73v3,C,AC234157.1_FG002,0.368421052631579,14,38,CAFA
GOMAP,B73v3,C,AC234522.1_FG005,0.285714285714286,6,21,CAFA
GOMAP,B73v3,C,AC234528.1_FG005,0.692307692307692,9,13,CAFA
GOMAP,B73v3,C,AC234575.1_FG003,0.642857142857143,9,14,CAFA
GOMAP,B73v3,C,GRMZM2G000219,0.473684210526316,16,19,CAFA
GOMAP,B73v3,C,GRMZM2G000256,0.551724137931035,31,29,CAFA
GOMAP,B73v3,C,GRMZM2G000622,0.571428571428571,8,14,CAFA
GOMAP,B73v3,C,GRMZM2G000660,0.333333333333333,8,24,CAFA
GOMAP,B73v3,C,GRMZM2G001084,0.183673469387755,9,49,CAFA
